source,target
PLA2G4A,FCER1A
JUN,FCER1A
FOS,FCER1A
SPHK1,FCER1G
BTK,FCER1G
FYN,FCER1G
ITK,FCER1G
FCER1A,FCER1G
RAF1,FCER1G
LYN,FCER1G
PLA2G4A,FCER1G
JUN,FCER1G
FOS,FCER1G
PEBP1,ALOX15
RAF1,ALOX15
RELA,TEK
FYN,TEK
PIK3CD,TEK
NFKB1,TEK
MMP2,TEK
PKM,TEK
STAT5B,TEK
MAPK14,TEK
MAPK8,TEK
MAPK1,TEK
MAPK3,TEK
PLG,TEK
GJA1,PRKCE
RELA,PRKCE
GRIN3A,PRKCE
PLD1,PRKCE
CHAT,PRKCE
SPHK1,PRKCE
BRAF,PRKCE
BTK,PRKCE
FGFR1,PRKCE
ATF2,PRKCE
FYN,PRKCE
SRC,PRKCE
MAPT,PRKCE
FGFR2,PRKCE
FGFR4,PRKCE
FGFR3,PRKCE
PIK3CD,PRKCE
LCK,PRKCE
ERBB2,PRKCE
IL2,PRKCE
JAK3,PRKCE
PEBP1,PRKCE
NFKB1,PRKCE
KRT8,PRKCE
HSP90AA1,PRKCE
PKM,PRKCE
PDPK1,PRKCE
MET,PRKCE
PRKCA,PRKCE
IKBKB,PRKCE
CHUK,PRKCE
RAF1,PRKCE
JAK1,PRKCE
PLA2G4A,PRKCE
STAT5B,PRKCE
MAPK14,PRKCE
GSK3B,PRKCE
MAPK1,PRKCE
MAPK3,PRKCE
EGFR,PRKCE
CFTR,PRKCE
MAPK11,PRKCE
ADCY1,PRKCE
OPRD1,PRKCE
CHRM1,PRKCE
CHRM5,PRKCE
CHRM3,PRKCE
CHRM2,PRKCE
CHRM4,PRKCE
SLC6A2,PRKCE
CACNA1A,PRKCE
CACNA1B,PRKCE
CACNA1E,PRKCE
CACNB1,PRKCE
CACNB4,PRKCE
TRPV1,PRKCE
CACNB2,PRKCE
CACNB3,PRKCE
NFATC1,PRKCE
GRIN1,PRKCE
GRIN2D,PRKCE
GRIN2A,PRKCE
GRIN2C,PRKCE
GRIN2B,PRKCE
UGT1A7,PRKCE
RXRG,PRKCG
GJA1,PRKCG
RELA,PRKCG
GRIN3A,PRKCG
PLD1,PRKCG
CHAT,PRKCG
SPHK1,PRKCG
PF4,PRKCG
IFNG,PRKCG
ABL2,PRKCG
EPHB4,PRKCG
TYK2,PRKCG
HCK,PRKCG
PRKCQ,PRKCG
JAK2,PRKCG
BRAF,PRKCG
MAP3K2,PRKCG
FGFR1,PRKCG
FYN,PRKCG
SRC,PRKCG
FGR,PRKCG
EPHA5,PRKCG
MAPK15,PRKCG
MAPT,PRKCG
FGFR2,PRKCG
FGFR4,PRKCG
FGFR3,PRKCG
PIK3CD,PRKCG
LCK,PRKCG
ERBB2,PRKCG
PEBP1,PRKCG
NFKB1,PRKCG
YES1,PRKCG
TOP2A,PRKCG
HSP90AA1,PRKCG
CDK2,PRKCG
CSK,PRKCG
RXRB,PRKCG
ADRBK1,PRKCG
IKBKB,PRKCG
CHUK,PRKCG
RAF1,PRKCG
JAK1,PRKCG
MTOR,PRKCG
LYN,PRKCG
EPHA2,PRKCG
PLA2G4A,PRKCG
STAT5B,PRKCG
MAPK14,PRKCG
GSK3B,PRKCG
MAPK1,PRKCG
MAPK3,PRKCG
EGFR,PRKCG
ABL1,PRKCG
SCN3A,PRKCG
RARA,PRKCG
RXRA,PRKCG
CHRM1,PRKCG
CHRM5,PRKCG
CHRM3,PRKCG
CHRM2,PRKCG
CHRM4,PRKCG
GRIA1,PRKCG
GRIA2,PRKCG
GRIA3,PRKCG
CACNA1A,PRKCG
CACNA1B,PRKCG
CACNA1E,PRKCG
CACNB1,PRKCG
CACNB4,PRKCG
TRPV6,PRKCG
CACNB2,PRKCG
CACNB3,PRKCG
GRIN1,PRKCG
GRIN2D,PRKCG
GRIN2A,PRKCG
GRIN2C,PRKCG
GRIN2B,PRKCG
GABRA1,PRKCG
GABRA4,PRKCG
PF4,CXCL12
LCK,CXCL12
MMP2,CXCL12
ADRBK1,CXCL12
ADRBK2,CXCL12
STAT5B,CXCL12
RAC1,CXCL12
