,Drug IDs,NCBI_ID
893,361,1234
894,441,1234
895,445,1234
896,526,1234
897,544,1234
898,773,1234
899,958,1234
900,1030,1234
901,1229,1234
902,361,1233
903,441,1233
904,445,1233
905,526,1233
906,544,1233
907,773,1233
908,958,1233
909,1030,1233
910,1229,1233
911,361,3362
912,441,3362
913,445,3362
914,526,3362
915,544,3362
916,773,3362
917,958,3362
918,1030,3362
919,1229,3362
920,361,186
921,441,186
922,445,186
923,526,186
924,544,186
925,773,186
926,958,186
927,1030,186
928,1229,186
929,361,4887
930,441,4887
931,445,4887
932,526,4887
933,544,4887
934,773,4887
935,958,4887
936,1030,4887
937,1229,4887
938,544,2740
939,773,2740
940,361,4159
941,441,4159
942,445,4159
943,526,4159
944,544,4159
945,773,4159
946,958,4159
947,1030,4159
948,1229,4159
949,361,729230
950,441,729230
951,445,729230
952,526,729230
953,544,729230
954,773,729230
955,958,729230
956,1030,729230
957,1229,729230
958,361,3357
959,441,3357
960,445,3357
961,526,3357
962,544,3357
963,773,3357
964,958,3357
965,1030,3357
966,1229,3357
967,361,4986
968,441,4986
969,445,4986
970,526,4986
971,544,4986
972,773,4986
973,958,4986
974,1030,4986
975,1229,4986
976,361,4985
977,441,4985
978,445,4985
979,526,4985
980,544,4985
981,773,4985
982,958,4985
983,1030,4985
984,1229,4985
985,1229,5468
986,1229,7365
987,361,1814
988,441,1814
989,445,1814
990,526,1814
991,544,1814
992,773,1814
993,958,1814
994,1030,1814
995,1229,1814
996,361,4988
997,441,4988
998,445,4988
999,526,4988
1000,544,4988
1001,773,4988
1002,958,4988
1003,1030,4988
1004,1229,4988
1005,361,3269
1006,441,3269
1007,445,3269
1008,526,3269
1009,544,3269
1010,773,3269
1011,958,3269
1012,1030,3269
1013,1229,3269
1014,361,5743
1015,441,5743
1016,445,5743
1017,526,5743
1018,544,5743
1019,958,5743
1020,1030,5743
1021,1229,5743
1022,5482,4363
1023,361,4161
1024,441,4161
1025,445,4161
1026,526,4161
1027,544,4161
1028,773,4161
1029,958,4161
1030,1030,4161
1031,1229,4161
1032,361,4160
1033,441,4160
1034,445,4160
1035,526,4160
1036,544,4160
1037,773,4160
1038,958,4160
1039,1030,4160
1040,1229,4160
1041,361,7433
1042,441,7433
1043,445,7433
1044,526,7433
1045,544,7433
1046,773,7433
1047,958,7433
1048,1030,7433
1049,1229,7433
1050,361,886
1051,441,886
1052,445,886
1053,526,886
1054,544,886
1055,773,886
1056,958,886
1057,1030,886
1058,1229,886
1059,361,6532
1060,441,6532
1061,445,6532
1062,526,6532
1063,544,6532
1064,773,6532
1065,958,6532
1066,1030,6532
1067,1229,6532
1068,361,799
1069,441,799
1070,445,799
1071,526,799
1072,544,799
1073,773,799
1074,958,799
1075,1030,799
1076,1229,799
1077,361,134
1078,441,134
1079,445,134
1080,526,134
1081,544,134
1082,773,134
1083,958,134
1084,1030,134
1085,1229,134
1086,361,624
1087,441,624
1088,445,624
1089,526,624
1090,544,624
1091,773,624
1092,958,624
1093,1030,624
1094,1229,624
1095,361,834
1096,441,834
1097,445,834
1098,526,834
1099,544,834
1100,773,834
1101,958,834
1102,1030,834
1103,1229,834
1104,317,5594
1105,361,5594
1106,441,5594
1107,445,5594
1108,526,5594
1109,544,5594
1110,773,5594
1111,958,5594
1112,1030,5594
1113,1229,5594
1114,1254,5594
1115,1259,5594
1116,5220,5594
1117,5294,5594
1118,8865,5594
1119,8916,5594
1120,11663,5594
1121,11689,5594
1122,361,3358
1123,441,3358
1124,445,3358
1125,526,3358
1126,544,3358
1127,773,3358
1128,958,3358
1129,1030,3358
1130,1229,3358
1131,361,3356
1132,441,3356
1133,445,3356
1134,526,3356
1135,544,3356
1136,773,3356
1137,958,3356
1138,1030,3356
1139,1229,3356
1140,317,5595
1141,361,5595
1142,441,5595
1143,445,5595
1144,526,5595
1145,544,5595
1146,773,5595
1147,958,5595
1148,1030,5595
1149,1229,5595
1150,1254,5595
1151,1259,5595
1152,5294,5595
1153,8865,5595
1154,8916,5595
1155,11663,5595
1156,11689,5595
1157,361,4886
1158,441,4886
1159,445,4886
1160,526,4886
1161,544,4886
1162,773,4886
1163,958,4886
1164,1030,4886
1165,1229,4886
1166,361,5724
1167,441,5724
1168,445,5724
1169,526,5724
1170,544,5724
1171,773,5724
1172,958,5724
1173,1030,5724
1174,1229,5724
1175,361,6869
1176,441,6869
1177,445,6869
1178,526,6869
1179,544,6869
1180,773,6869
1181,958,6869
1182,1030,6869
1183,1229,6869
1184,361,1909
1185,441,1909
1186,445,1909
1187,526,1909
1188,544,1909
1189,773,1909
1190,958,1909
1191,1030,1909
1192,1229,1909
1193,361,146
1194,441,146
1195,445,146
1196,526,146
1197,544,146
1198,773,146
1199,958,146
1200,1030,146
1201,1229,146
1202,361,3579
1203,441,3579
1204,445,3579
1205,526,3579
1206,544,3579
1207,773,3579
1208,958,3579
1209,1030,3579
1210,1229,3579
1211,361,3577
1212,441,3577
1213,445,3577
1214,526,3577
1215,544,3577
1216,773,3577
1217,958,3577
1218,1030,3577
1219,1229,3577
1220,361,3274
1221,441,3274
1222,445,3274
1223,526,3274
1224,544,3274
1225,773,3274
1226,958,3274
1227,1030,3274
1228,1229,3274
1229,361,6916
1230,441,6916
1231,445,6916
1232,526,6916
1233,544,6916
1234,773,6916
1235,958,6916
1236,1030,6916
1237,1229,6916
1238,361,6530
1239,441,6530
1240,445,6530
1241,526,6530
1242,544,6530
1243,773,6530
1244,958,6530
1245,1030,6530
1246,1229,6530
1247,317,3716
1248,1254,3716
1249,1259,3716
1250,5294,3716
1251,8865,3716
1252,8916,3716
1253,11663,3716
1254,11689,3716
1255,361,5742
1256,441,5742
1257,445,5742
1258,526,5742
1259,544,5742
1260,958,5742
1261,1030,5742
1262,1229,5742
1263,1229,54657
1264,5482,54657
1265,1229,54658
1266,5482,54658
1267,361,43
1268,441,43
1269,445,43
1270,526,43
1271,544,43
1272,773,43
1273,958,43
1274,1030,43
1275,1229,43
1276,5482,43
1277,361,1815
1278,441,1815
1279,445,1815
1280,526,1815
1281,544,1815
1282,773,1815
1283,958,1815
1284,1030,1815
1285,1229,1815
1286,361,1812
1287,441,1812
1288,445,1812
1289,526,1812
1290,773,1812
1291,958,1812
1292,1030,1812
1293,1229,1812
1294,361,1268
1295,441,1268
1296,445,1268
1297,526,1268
1298,544,1268
1299,773,1268
1300,958,1268
1301,1030,1268
1302,1229,1268
1303,361,6865
1304,441,6865
1305,445,6865
1306,526,6865
1307,544,6865
1308,773,6865
1309,958,6865
1310,1030,6865
1311,1229,6865
1312,1229,5244
1313,361,4128
1314,441,4128
1315,445,4128
1316,526,4128
1317,544,4128
